linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
11,62.000 €,45.9173379,16.8481735,Bjelovar,U kući,Jednoetažni,3-sobni,Prizemlje,111,https://www.njuskalo.hr/nekretnine/stan-prizemlju-kuce-oglas-38454632,1,
12,100.000 €,45.895612069294,16.841817382803,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,94,https://www.njuskalo.hr/nekretnine/strogi-centar-trosobni-stan-oglas-23998228,1,
13,235.000 €,43.5422549,16.4919632,Bjelovar,U stambenoj zgradi,Dvoetažni,2-sobni,,65,https://www.njuskalo.hr/nekretnine/solin-dvoetazni-stan-65-m2-izvrsnoj-lokaciji-oglas-42013086,1,
14,149.500 €,45.708705821419,17.183777834767,Grubišno Polje,U stambenoj zgradi,Jednoetažni,4-sobni,1.,115,https://www.njuskalo.hr/nekretnine/stan-grubisno-polje-115.00-m2-oglas-39490063,2,2
15,36.500 €,45.910938365,17.01902221,Šandrovac,U stambenoj zgradi,Jednoetažni,3-sobni,1.,80,https://www.njuskalo.hr/nekretnine/stan-sandrovac-80.00-m2-oglas-40415125,1,1
16,148.640 €,45.896311797702,16.842947691697,Bjelovar,U stambenoj zgradi,Jednoetažni,3-sobni,1.,74,https://www.njuskalo.hr/nekretnine/3-sobni-stan-strogom-centru-grada-74.34-m2-oglas-42118756,,
17,45.000 €,46.31423997525539,16.336972622776415,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,58,https://www.njuskalo.hr/nekretnine/stan-bjelovar-centar-58.00-m2-oglas-42207937,1,
18,163.800 €,,,Bjelovar,U stambenoj zgradi,Dvoetažni,3-sobni,Prizemlje,84,https://www.njuskalo.hr/nekretnine/bjelovar-centar-dvoetazni-stan-84-m2-izgradnja-2024-godini-oglas-42216839,1,1
19,134.550 €,,,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,69,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-69-m2-izgradnja-2024-g-oglas-42216838,1,
20,173.550 €,,,Bjelovar,U stambenoj zgradi,Dvoetažni,3-sobni,1.,89,https://www.njuskalo.hr/nekretnine/bjelovar-centar-dvoetazni-stan-89-m2-prvi-drugi-kat-izgradnja-oglas-42216837,1,
21,120.900 €,,,Bjelovar,U stambenoj zgradi,Jednoetažni,2-sobni,2.,62,https://www.njuskalo.hr/nekretnine/bjelovar-centar-stan-62-m2-drugi-kat-izgradnja-2024-g-oglas-42216836,1,
