linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
6766,150.000 €,45.376518616386,14.378400080984,Viškovo,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,50,https://www.njuskalo.hr/nekretnine/viskovo-1s-db-50-m2-okucnica-parking-oglas-41917814,1,
6767,92.000 €,45.339150131161,14.387671050379,Rijeka,U stambenoj zgradi,Jednoetažni,1-sobni,5.,23,https://www.njuskalo.hr/nekretnine/rijeka-kantrida-23.53m2-1-sobni-stan-pogledom-samo-kod-nas-oglas-41677177,,
6768,250.000 €,,,Malinska-Dubašnica,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,94,https://www.njuskalo.hr/nekretnine/malinska-dvosoban-stan-prizemlju-velikim-vrtom-sustavu-pdv-a-oglas-37100096,2,
6769,165.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,,54,https://www.njuskalo.hr/nekretnine/rijeka-vojak-54.29m2-3-sobni-stan-pogled-more-oglas-42145986,1,
6770,140.000 €,45.340757328445,14.404720669463,Rijeka,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,41,https://www.njuskalo.hr/nekretnine/rijeka-krnjevo-41.09m2-2-sobni-stan-oglas-42145985,1,
6771,205.000 €,45.2249816491,14.633320070435,Crikvenica,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,60,https://www.njuskalo.hr/nekretnine/jadranovo-dva-stana-cijenu-jednog-oglas-42145971,1,
6772,54.000 €,44.990861587787,14.763828324631,Baška,U stambenoj zgradi,Jednoetažni,Garsonijera,Prizemlje,16,https://www.njuskalo.hr/nekretnine/otok-krk-jurandvor-studio-apartman-16-m2-oglas-42145969,1,
6773,550.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,90,https://www.njuskalo.hr/nekretnine/bivio-stan-novogradnji-vrtom-blizu-mora-oglas-42145966,2,
6774,160.000 €,45.348633629175,14.291884956067,Matulji,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,88,https://www.njuskalo.hr/nekretnine/matulji-bregi-2s-db-oglas-42145965,,
6775,165.000 €,,,Rijeka,U stambenoj zgradi,Jednoetažni,4-sobni,2.,91,https://www.njuskalo.hr/nekretnine/belveder-3s-db-zapadne-orijentacije-oglas-42145964,1,
6776,280.000 €,45.048513384816,14.618406027668,Krk,U stambenoj zgradi,Dvoetažni,4-sobni,2.,84,https://www.njuskalo.hr/nekretnine/kornic-dvoetazni-stan-novogradnji-oglas-42145963,2,
