linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
419,115.500 €,55,45.560059210802,18.644935872283,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Dvoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-osijek-retfala-trosobni-stan-dvoristem-55-m2-novogradnja-oglas-37933200
420,320.000 €,280,45.559002,18.721003,Osječko-baranjska,Osijek,Donji grad,U stambenoj zgradi,Jednoetažni,5+ sobni,2,,1.,https://www.njuskalo.hr/nekretnine/stan-osijek-donji-grad-peterosobni-280.00-m2-oglas-34577373
421,195.000 €,92,45.553154,18.667519,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-drugom-katu-novogradnja-oglas-41912016
422,199.000 €,94,45.553154,18.667519,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/cetverosoban-stan-prvom-katu-urbane-vile-oglas-40095453
423,1.950 €,96,45.564927717156,18.645075559616,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Dvoetažni,4-sobni,2,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-osijek-96.82-m2-novogradnja-4.5-soban-dvoetazni-vrt-oglas-38815657
424,1.950 €,87,45.564927717156,18.645075559616,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Dvoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-osijek-87.62-m2-novogradnja-3.5-soban-dvoetazni-vrt-oglas-38815522
425,109.000 €,155,45.669989244289,18.417053199601,Osječko-baranjska,Valpovo,Valpovo,U stambenoj zgradi,Jednoetažni,3-sobni,1,1,4.,https://www.njuskalo.hr/nekretnine/stan-valpovo-centar-155-m-trosoban-4-kat-oglas-39667429
426,160.000 €,89,45.561217741496876,18.671321384225067,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-89m2-garaza-17m2-podrum-25-m2-ureden-stanovanje-oglas-41613676
427,1.950 €,77,45.564927717156,18.645075559616,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/stan-osijek-77.65-m2-novogradnja-4-soban-oglas-38816133
428,1.950 €,119,45.564927717156,18.645075559616,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,4-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/stan-osijek-119.92-m2-novogradnja-4-soban-oglas-38816001
429,1.950 €,113,45.564927717156,18.645075559616,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Dvoetažni,4-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-osijek-113.28-m2-novogradnja-4.5-soban-dvoetazni-vrt-oglas-38815590
430,99.000 €,42,45.564058109801,18.647156317,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/retfala-osijek-oglas-41795712
431,254.999 €,145,45.493079278008,18.097551496556,Osječko-baranjska,Našice,Našice,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/nasice-atraktivan-stan-izgradnji-oglas-41493184
432,44.000 €,51,45.621008800291,18.633720969836,Osječko-baranjska,Darda,Darda,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-prodaju-51-m-prizemlje-dvosoban-darda-centar-oglas-40596428
433,207.200 €,112,45.534023,18.635073,Osječko-baranjska,Osijek,Cvjetno naselje,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-osijek-112.00-m2-novogradnja-oglas-41750644
434,137.000 €,81,45.56008948372,18.645730612442,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,3-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-osijek-81.00-m2-oglas-41763834
435,235.000 €,108,45.56216501222,18.652554704408,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,4-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/stan-oglas-41120246
436,50.000 €,22,45.561417,18.676453,Osječko-baranjska,Osijek,Gornji grad / Centar,U stambenoj zgradi,Jednoetažni,Garsonijera,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/prodaja-stana-oglas-41760992
437,97.000 €,42,45.56273818684963,18.642009882599996,Osječko-baranjska,Osijek,Retfala,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/dvosobni-stan-retfali-namjesten-oglas-41751844
