126.000 €,45.551181213622,18.741702319754,Osijek,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,75,https://www.njuskalo.hr/nekretnine/stan-osijek-75.00-m2-novogradnja-oglas-41913493,1,
158.400 €,45.806442404656,15.963929061819,Donji Grad,U stambenoj zgradi,Jednoetažni,1-sobni,Visoko prizemlje,44,https://www.njuskalo.hr/nekretnine/stan-centar-jukiceva-donji-grad-44.00-m2-oglas-39432140,1,
155.000 €,46.16677445180627,16.825308934598812,Koprivnica,U stambenoj zgradi,Jednoetažni,3-sobni,2.,86,https://www.njuskalo.hr/nekretnine/stan-koprivnica-86.25-m2-j-j-strossmayera-oglas-40945605,1,1
255.000 €,44.85869049567371,13.811694429978564,Pula,U kući,Jednoetažni,2-sobni,,127,https://www.njuskalo.hr/nekretnine/stoja-stan-pogledom-more-oglas-40423382,1,
260.000 €,44.12975,15.241869,Zadar,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,85,https://www.njuskalo.hr/nekretnine/stan-novogradnja-zadar-plovanija-oglas-41069692,1,1
288.750 €,45.75950173406,15.978367779238,Novi Zagreb - Zapad,U stambenoj zgradi,Dvoetažni,4-sobni,Prizemlje,105,https://www.njuskalo.hr/nekretnine/stan-s06-zagreb-horvatova-oglas-41193420,2,
233.685 €,45.75950173406,15.978367779238,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,3.,86,https://www.njuskalo.hr/nekretnine/stan-zagreb-otok-85.95-m2-novogradnja-penthouse-oglas-37332093,1,1
114.000 €,45.87000851507702,15.972151065449712,Podsljeme,U stambenoj zgradi,Jednoetažni,3-sobni,,57,https://www.njuskalo.hr/nekretnine/stan-prodaja-gracani-novouredjen-3-sobni-terasa-kompletno-opremljen-oglas-42135407,1,
280.000 €,45.832023740648,16.039761437705,Gornja Dubrava,U stambenoj zgradi,Dvoetažni,3-sobni,2.,95,https://www.njuskalo.hr/nekretnine/novoadaptiran-velik-stan-95-m2-galerija-rohbau-35-m2-280.000-eur-oglas-38917241,1,
295.000 €,45.808571146017,15.979815362786,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,Suteren,96,https://www.njuskalo.hr/nekretnine/zagreb-jurkoviceva-stan-parkirnim-mjestom-82m2-oglas-41994560,1,1
546.000 €,45.806596195398,15.978286178669,Donji Grad,U stambenoj zgradi,Dvoetažni,4-sobni,,130,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-130.00-m2-novogradnja-oglas-41336273,2,
399.000 €,45.806596195398,15.978286178669,Donji Grad,U stambenoj zgradi,Jednoetažni,5+ sobni,2.,155,https://www.njuskalo.hr/nekretnine/stan-zagreb-donji-grad-155.00-m2-oglas-41692051,2,
260.000 €,45.784758358007,15.92217887365,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,79,https://www.njuskalo.hr/nekretnine/zagreb-jarun-stan-prodaju-adaptaciju-79m2-oglas-41898255,1,1
