linenum,price,lat,lng,location,flatBuildingtype,flatFloorCount,numberOfRooms,buildingFloorPosition,livingArea,url,bathrooms with toilet,toilets
1845,283.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,5+ sobni,Prizemlje,95,https://www.njuskalo.hr/nekretnine/prodaja-zagreb-donji-grad-stan-95m2-oglas-40420933,,
1846,266.000 €,,,Novi Zagreb - Zapad,U stambenoj zgradi,Dvoetažni,3-sobni,6.,95,https://www.njuskalo.hr/nekretnine/siget-trosobni-stan-96-m2-6-kat-oglas-42201002,1,2
1847,599.000 €,,,Donji Grad,U stambenoj zgradi,Jednoetažni,4-sobni,1.,156,https://www.njuskalo.hr/nekretnine/cetverosobni-stan-kraj-uspinjace-156m2-parkirno-mjesto-oglas-41631959,2,2
1848,252.000 €,45.806230674638,15.94065200318,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,2-sobni,2.,58,https://www.njuskalo.hr/nekretnine/novogradnja-tresnjevka-dvosoban-stan-58-m2-vmp-loda-2-kat-oglas-41606998,1,1
1849,198.000 €,,,Peščenica - Žitnjak,U stambenoj zgradi,Jednoetažni,2-sobni,4.,50,https://www.njuskalo.hr/nekretnine/borovje-ulica-davora-zbiljskog-stan-50-m2-novogradnja-namjesten-oglas-41586615,1,1
1850,255.000 €,45.8106249,15.9723245,Donji Grad,U stambenoj zgradi,Jednoetažni,2-sobni,3.,64,https://www.njuskalo.hr/nekretnine/top-lokacija-dvosoban-stan-zagreb-masarykova-64-m2-3-kat-oglas-41508951,1,1
1851,247.440 €,,,Podsljeme,U stambenoj zgradi,Jednoetažni,3-sobni,1.,123,https://www.njuskalo.hr/nekretnine/sestinski-vrh-trosoban-stan-123-m2-terasom-balkonom-oglas-41471095,1,1
1852,285.000 €,,,Maksimir,U stambenoj zgradi,Jednoetažni,4-sobni,1.,94,https://www.njuskalo.hr/nekretnine/stan-gornji-bukovac-cetvorosobni-81m2-oglas-41237408,2,2
1853,175.000 €,45.8293562,16.059595,Donja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,4.,80,https://www.njuskalo.hr/nekretnine/trosoban-stan-a-dubrava-81-m2-balkon-4-kat-2-lifta-nije-fiksno-oglas-41141131,1,1
1854,180.000 €,45.8323332,16.006319,Maksimir,U stambenoj zgradi,Jednoetažni,3-sobni,,122,https://www.njuskalo.hr/nekretnine/trosobna-stan-bukovacka-122-m2-garaza-spremiste-polusuteren-oglas-41090909,1,2
1855,170.000 €,,,Maksimir,U stambenoj zgradi,Jednoetažni,2-sobni,3.,57,https://www.njuskalo.hr/nekretnine/maksimir-maksimirska-namjesten-2.5-soban-stan-oglas-41057894,,
1856,353.000 €,,,Gornji Grad - Medveščak,U stambenoj zgradi,Jednoetažni,3-sobni,1.,78,https://www.njuskalo.hr/nekretnine/atraktivan-stan-78m2-prodaja-britanac-oglas-41057892,,
1857,199.000 €,45.8102026,15.966623,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,79,https://www.njuskalo.hr/nekretnine/dezeliceva-trosobni-stan-adaptaciju-oglas-40802554,1,1
1858,285.000 €,45.811554348025,15.927975406082,Črnomerec,U stambenoj zgradi,Jednoetažni,3-sobni,2.,93,https://www.njuskalo.hr/nekretnine/crnomerec-2-stana-ukupno-93-m2-odlicno-zivot-ili-investiciju-oglas-40771503,2,1
1859,195.000 €,45.8019047,15.9485344,Trešnjevka - Sjever,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,83,https://www.njuskalo.hr/nekretnine/stan-trosobni-83.48m2-visoko-prizemlje-tresnjevka-oglas-40711070,1,1
1860,349.000 €,45.8311979,15.9367324,Črnomerec,U stambenoj zgradi,Jednoetažni,4-sobni,Visoko prizemlje,152,https://www.njuskalo.hr/nekretnine/sveti-duh-trosoban-stan-153-m2-velikom-terasom-prepun-svjetla-oglas-40941790,1,1
1861,157.000 €,45.7852304,15.9399274,Trešnjevka - Jug,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,53,https://www.njuskalo.hr/nekretnine/dvosoban-stan-neidhardta-gredice-54-m2-prizemlje-oglas-40763472,1,
1862,195.000 €,45.8207979,16.038192,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,2-sobni,Prizemlje,72,https://www.njuskalo.hr/nekretnine/dvosoban-stan-vrapce-mendlova-72-m2-vrt-73-m2-parking-prizemlje-oglas-40597016,1,
1863,218.000 €,45.8063816,15.8907342,Stenjevec,U stambenoj zgradi,Jednoetažni,3-sobni,2.,75,https://www.njuskalo.hr/nekretnine/zagreb-spansko-trosoban-stan-76-m2-2-kat-oglas-40589873,1,1
1864,205.416 €,45.8103819,15.9917949,Donji Grad,U stambenoj zgradi,Jednoetažni,3-sobni,3.,85,https://www.njuskalo.hr/nekretnine/trosoban-stan-85.59m2-zvonimirova-ulica-3-kat-oglas-40557197,1,1
1865,206.000 €,45.8413137,16.0051283,Maksimir,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,122,https://www.njuskalo.hr/nekretnine/trosoban-stan-gajscak-remete-123-m2-garaza-terasa-v-prizemlje-oglas-40421051,1,
1866,287.385 €,45.8134826,15.8995903,Podsused - Vrapče,U stambenoj zgradi,Jednoetažni,4-sobni,1.,123,https://www.njuskalo.hr/nekretnine/novogradnja-centar-vrapca-povoljno-oglas-40420986,2,2
1867,270.000 €,,,Gornja Dubrava,U stambenoj zgradi,Jednoetažni,4-sobni,1.,100,https://www.njuskalo.hr/nekretnine/zuti-breg-dva-stana-novogradnji-oglas-40421019,1,
1868,235.000 €,45.7814447,15.9629263,Novi Zagreb - Zapad,U stambenoj zgradi,Jednoetažni,3-sobni,Prizemlje,130,https://www.njuskalo.hr/nekretnine/trosoban-stan-kajzerica-xi-podbrezje-131-m2-prizemlje-parking-oglas-40420973,1,1
1869,170.000 €,45.8117897,15.8777718,Stenjevec,U stambenoj zgradi,Jednoetažni,2-sobni,2.,89,https://www.njuskalo.hr/nekretnine/dvosoban-stan-89.7-m2-samoborska-cesta-velika-terasa-lift-2-kat-oglas-40420934,1,
1870,125.000 €,45.7666108,15.9986855,Novi Zagreb - Istok,U stambenoj zgradi,Jednoetažni,2-sobni,8.,50,https://www.njuskalo.hr/nekretnine/dvosoban-stan-51-m2-vijenac-frane-gotovca-dugave-8-kat-oglas-42209004,1,
1871,170.100 €,,,Donja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,1.,63,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-stan-retkovec-63m2-prvi-kat-3s-oglas-42136773,,
1872,210.600 €,,,Donja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,78,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-stan-s3-retkovec-63m2-visoko-prizemlje-3s-oglas-42136772,,
1873,170.100 €,,,Donja Dubrava,U stambenoj zgradi,Jednoetažni,3-sobni,Visoko prizemlje,63,https://www.njuskalo.hr/nekretnine/prodaja-novogradnja-stan-s1-retkovec-63m2-prizemlje-3s-oglas-42136771,,
